,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-43.32000000000018,-40.31966338069417,-37.30145021435454,-33.85108581238323,-25.20737610016409,13.473777647942995,137.55745077947915,392.88671423963285,773.6290865397029,1239.7806306318578,1750.7619770681229,2278.6137662821848,2807.10673649517,3327.719139710205,3836.4279789893963,4331.721976760716,4813.458791679791,5282.217671788568
2,-43.3200000000009,-40.3196582046793,-37.30122511399007,-33.84672678226509,-25.164998021342328,13.686200804656607,138.16251948232215,394.02606835517696,775.2682745205367,1241.7824227511394,1752.978024315292,2280.9243154138308,2809.425835709654,3329.9885513356767,3838.6098718798385,4333.793024791588,4815.405854508004,5284.034711202294
3,-43.32000000000283,-40.31965298581765,-37.300998661270164,-33.84235095378413,-25.122541568776903,13.898630153832158,138.7666223761851,395.161952865196,776.9003252108254,1243.7730816690857,1755.1792242994934,2283.2168592907897,2811.7243969693914,3332.2354943165865,3840.7679091476175,4335.839305418652,4817.327644857081,5285.826315532141
4,-43.32000000000685,-40.319647724170125,-37.30077086041538,-33.837958425197485,-25.080007702657333,14.111061657306351,139.3697521711809,396.294364959971,778.5252536323704,1245.752652491689,1757.3656602149003,2285.4915231620366,2814.002588619349,3334.460179162707,3842.90234122147,4337.861105877029,4819.224483106934,5287.592834326224
5,-43.32000000001411,-40.319642419800445,-37.30054171570664,-33.833549295129885,-25.03739738150309,14.323491302071886,139.97190167222823,397.4233020061045,780.1430749922478,1247.7211803873483,1759.53741505017,2287.7484316705013,2816.2605778860834,3336.6628146632806,3845.0134161391184,4339.858710292118,4821.096685779486,5289.334612513862
6,-43.32000000002596,-40.319637072775116,-37.30031123148432,-33.82912366256343,-24.994711562114905,14.5359151002965,140.57306377852439,398.54876154462863,781.7538046792364,1249.6787105822316,1761.6945715841152,2289.987708850897,2818.4985308798205,3338.8436078955615,3847.101379564489,4341.832399707654,4822.944565579635,5291.051990461274
7,-43.32000000004399,-40.319631683163415,-37.30007941214745,-33.82468162682761,-24.951951199526867,14.7483290893395,141.17323148301725,399.6707412891237,783.3574582602845,1251.6252883557147,1763.8372123814888,2292.209478127673,2820.716612596656,3341.00276423344,3849.1664748049525,4343.782452113694,4824.76843143592,5292.745304026764
8,-43.32000000006998,-40.319626251037334,-37.299846262152805,-33.82022328758924,-24.90911724695921,14.960729331765926,141.77239787187534,400.78923912384795,784.9540514770157,1253.5609590358902,1765.965419788873,2294.413862313104,2822.9149869208923,3343.1404873561637,3851.2089428285813,4345.709142474458,4826.568588540926,5294.414884615387
9,-43.32000000010594,-40.31962077647157,-37.299611786014125,-33.815748744842615,-24.866210655771837,15.173111915358213,142.37055612395707,401.90425310187766,786.5436002422684,1255.4857679951522,1768.0792759306719,2296.6009836055005,2825.0938166274823,3345.256979257148,3853.2290222814127,4347.612742756089,4828.345338391379,5296.061059233113
10,-43.32000000015405,-40.31961525954349,-37.2993759883012,-33.81125809889965,-24.823232375418584,15.385472953125593,142.96769951027804,403.01578144325856,788.1261206366787,1257.399760645851,1770.178862705213,2298.7709635875385,2827.253263384603,3347.3524402528574,3855.2269495047194,4349.493521954275,4830.098978827976,5297.6841505404545
11,-43.3200000002167,-40.319609700333096,-37.299138873639095,-33.8067514503802,-24.78018335340219,15.597808583311043,143.56382139347747,404.1238225331679,789.7016289052937,1259.302982436018,1772.2642617809443,2300.9239232247114,2829.393487756337,3349.4270689917703,3857.202958552285,4351.35174612177,4831.829804074911,5299.284476905614
12,-43.320000000296446,-40.319604098923,-37.29890044670726,-33.802228900202344,-24.73706453522993,15.81011496939606,144.15891522728373,405.22837492008796,791.2701414542257,1261.195478845163,1774.3355545927368,2303.0599828638988,2831.514649205465,3351.4810624634165,3859.1572812076665,4353.187678395771,4833.538104779107,5300.862352457082
13,-43.32000000039603,-40.31959845539838,-37.29866071223873,-33.7976905495729,-24.69387686437004,16.02238830010303,144.75297455597828,406.3294373139896,792.8316748473433,1263.0772953801388,1776.392822338285,2305.1792622320527,2833.6169060963675,3353.5146160074814,3861.090147001457,4355.001579025184,4835.22416804917,5302.418087135761
14,-43.32000000051835,-40.31959276984695,-37.29841967501929,-33.79313649997789,-24.650621282208753,16.234624789395518,145.34599301385921,407.42700858452775,794.3862458029952,1264.948477571076,1778.4361459746008,2307.2818804349904,2835.700415698031,3355.5279233229803,3863.0017832285353,4356.79370539775,4836.888277494019,5303.951986746543
